1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,1,200397,1,,Tracy Austin,R,,USA,,,,202190,,,Elke Renz,U,,GER,,,,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,2,200333,,,Betsy Nagelsen,R,,USA,,,,200929,,,Elly Appel,U,,NED,,,,2-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,3,201118,,Q,Tine Zwaan,U,,NED,,,,202191,,,Petra Van Oyen,U,,FRG,,,,1-6 6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,4,200334,,,Sabina Simmonds,R,,ITA,,,,200948,7,,Brigette Cuypers,U,,RSA,,,,6-0 5-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,5,200185,6,,Lesley Hunt,U,,AUS,,,,200243,,,Glynis Coles,U,,GBR,,,,7-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,6,200366,,,Sylvia Hanika,U,,GER,,,,200932,,,Jeanne Evert,U,,USA,,,,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,7,200323,,,Rene Blount,U,,USA,,,,200361,,,Marie Pinterova,U,,HUN,,,,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,8,200371,4,,Mima Jausovec,U,,SLO,,,,200281,,,Jackie Fayter,U,,GBR,,,,6-7 6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,9,200315,,,Nina Bohm,U,,SWE,,,,200320,8,,Renata Tomanova,U,,GER,,,,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,10,200365,,,Tanya Harford,U,,RSA,,,,201883,,,Cynthia Ashling,U,,USA,,,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,11,200936,,,Iris Riedel Kuhn,U,,FRG,,,,200759,,,Katja Ebbinghaus,U,,FRG,,,,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,12,200337,3,,Virginia Ruzici,R,,ROU,,,,201871,,,Kate Glancy,U,,CAN,,,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,13,200316,,,Heidi Eisterlehner,R,,GER,,,,200991,5,,Joanne Russell,U,,USA,,,,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,14,200341,,Q,Jutta Diesslin,U,,FRG,,,,201153,,Q,Anthea Stewart,U,,GBR,,,,6-3 6-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,15,200223,,,Sharon Walsh Pete,R,,USA,,,,200254,,,Michele Gurdal,U,,BEL,,,,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,16,200356,2,,Betty Stove,U,,NED,,,,201888,,Q,Marlie Buehler,U,,USA,,,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,17,200397,1,,Tracy Austin,R,,USA,,,,200333,,,Betsy Nagelsen,R,,USA,,,,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,18,200334,,,Sabina Simmonds,R,,ITA,,,,201118,,Q,Tine Zwaan,U,,NED,,,,7-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,19,200185,6,,Lesley Hunt,U,,AUS,,,,200366,,,Sylvia Hanika,U,,GER,,,,6-3 7-5,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,20,200371,4,,Mima Jausovec,U,,SLO,,,,200323,,,Rene Blount,U,,USA,,,,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,21,200315,,,Nina Bohm,U,,SWE,,,,200365,,,Tanya Harford,U,,RSA,,,,7-6 4-6 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,22,200337,3,,Virginia Ruzici,R,,ROU,,,,200936,,,Iris Riedel Kuhn,U,,FRG,,,,6-3 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,23,200316,,,Heidi Eisterlehner,R,,GER,,,,200341,,Q,Jutta Diesslin,U,,FRG,,,,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,24,200356,2,,Betty Stove,U,,NED,,,,200223,,,Sharon Walsh Pete,R,,USA,,,,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,25,200397,1,,Tracy Austin,R,,USA,,,,200334,,,Sabina Simmonds,R,,ITA,,,,6-1 6-0,3,QF,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,26,200371,4,,Mima Jausovec,U,,SLO,,,,200185,6,,Lesley Hunt,U,,AUS,,,,7-6 6-4,3,QF,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,27,200337,3,,Virginia Ruzici,R,,ROU,,,,200315,,,Nina Bohm,U,,SWE,,,,5-7 7-6 6-3,3,QF,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,28,200356,2,,Betty Stove,U,,NED,,,,200316,,,Heidi Eisterlehner,R,,GER,,,,6-3 6-3,3,QF,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,29,200397,1,,Tracy Austin,R,,USA,,,,200371,4,,Mima Jausovec,U,,SLO,,,,7-6 6-1,3,SF,,,,,,,,,,,,,,,,,,,
1978-W-WT-FRG-02A-1978,Stuttgart,Carpet,32,W,19781023,30,200356,2,,Betty Stove,U,,NED,,,,200337,3,,Virginia Ruzici,R,,ROU,,,,&nbsp,,3,SF,,,,,,,,,,,,,,,,,,
